temperature,city,pression,date
306.03,Paris,1015,2024-07-19 14:29
303.64,London,1014,2024-07-19 14:29
294.67,Washington,1018,2024-07-19 14:29
306.03,Paris,1015,2024-07-19 14:28
303.64,London,1014,2024-07-19 14:28
294.67,Washington,1018,2024-07-19 14:28
306.03,Paris,1015,2024-07-19 14:24
303.58,London,1014,2024-07-19 14:24
295.91,Washington,1018,2024-07-19 14:24
306.08,Paris,1015,2024-07-19 14:05
303.54,London,1014,2024-07-19 14:05
293.63,Washington,1018,2024-07-19 14:05
305.97,Paris,1015,2024-07-19 13:52
303.51,London,1014,2024-07-19 13:52
294.47,Washington,1018,2024-07-19 13:52
305.84,Paris,1015,2024-07-19 13:47
303.5,London,1014,2024-07-19 13:47
293.47,Washington,1018,2024-07-19 13:47
305.84,Paris,1015,2024-07-19 13:41
303.78,London,1014,2024-07-19 13:41
293.47,Washington,1018,2024-07-19 13:41
305.75,Paris,1015,2024-07-19 13:38
303.63,London,1015,2024-07-19 13:38
293.47,Washington,1018,2024-07-19 13:38
305.72,Paris,1016,2024-07-19 13:35
303.71,London,1015,2024-07-19 13:35
293.8,Washington,1018,2024-07-19 13:35
305.76,Paris,1016,2024-07-19 13:25
303.74,London,1015,2024-07-19 13:25
291.0,Washington,1018,2024-07-19 13:25
305.48,Paris,1016,2024-07-19 13:20
303.66,London,1015,2024-07-19 13:20
290.54,Washington,1018,2024-07-19 13:20
305.24,Paris,1016,2024-07-19 13:16
303.66,London,1015,2024-07-19 13:16
290.54,Washington,1018,2024-07-19 13:16
304.82,Paris,1016,2024-07-19 12:20
303.34,London,1015,2024-07-19 12:20
290.52,Washington,1017,2024-07-19 12:20
304.82,Paris,1016,2024-07-19 12:19
303.34,London,1015,2024-07-19 12:19
290.52,Washington,1017,2024-07-19 12:19
301.49,Paris,1018,2024-07-19 09:57
300.48,London,1016,2024-07-19 09:57
292.12,Washington,1017,2024-07-19 09:57
301.03,Paris,1018,2024-07-19 09:45
299.54,London,1016,2024-07-19 09:45
292.12,Washington,1017,2024-07-19 09:45
300.15,Paris,1018,2024-07-19 09:38
299.55,London,1016,2024-07-19 09:38
292.76,Washington,1017,2024-07-19 09:38
300.15,Paris,1018,2024-07-19 09:37
299.55,London,1016,2024-07-19 09:37
292.76,Washington,1017,2024-07-19 09:37
300.7,Paris,1018,2024-07-19 09:31
299.49,London,1017,2024-07-19 09:31
292.76,Washington,1017,2024-07-19 09:31
298.96,Paris,1018,2024-07-19 09:20
298.73,London,1017,2024-07-19 09:20
292.76,Washington,1017,2024-07-19 09:20
